original_phrase,paraphrase,approach_name,semantic_similarity,bleu,bert_score,sacre_bleu,persona
Write code to make a todo list app,"Develop a multi-tiered application providing CRUD (Create, Read, Update, Delete) operations for managing a user's todo items. Include persistent storage, a user interface, and API endpoints for accessing and manipulating the data.",llms,0.335258991,8.51E-232,0.962164462,0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a todo list app,"Implement a RESTful API backed by a database, allowing users to create, view, update, and delete todo list entries. Consider incorporating authentication and authorization for secure access.",llms,0.448709041,3.70E-155,0.963600814,0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a todo list app,"Design and code a scalable todo list application comprising a frontend for user interaction, a backend service for data persistence and business logic, and a database to store todo items, ensuring data consistency and availability.",llms,0.466852099,3.60E-155,0.969239891,0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a todo list app,"Craft a service with endpoints for managing todo list items. The service should handle user authentication, authorization, and data persistence, while adhering to best practices for security and performance.",llms,0.420129955,3.64E-155,0.964373112,0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a todo list app,"Construct a complete todo list application featuring a client-side interface for user interaction, a server-side component to manage data operations and user accounts, and a persistent data store. Ensure the application supports common todo list features like adding, completing, and deleting tasks.",llms,0.474134803,3.06E-155,0.961739242,0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a todo list app,"Could you create the instructions for a simple program that lets a person keep track of their tasks? It should allow them to add new tasks, mark tasks as completed, and see what's still left to do.",llms,0.578810751,8.51E-232,0.959610939,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a todo list app,"I need a set of instructions for a computer to create a program that acts like a to-do list. The program needs to let users input items, check them off when they're done, and display the current list.",llms,0.600782335,9.36E-232,0.963099062,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a todo list app,"I'm looking for guidance on setting up a program to manage a list of tasks. The user should be able to easily add tasks, indicate when they've finished a task, and view the complete, updated list.",llms,0.43675372,9.36E-232,0.957669258,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a todo list app,"Please provide the necessary steps to build a computer program that functions as a task management system. Functionality should include adding items to a list, crossing off completed items, and displaying the items still needing attention.",llms,0.527603686,9.53E-232,0.959167659,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a todo list app,"I'd like a set of commands to tell a computer how to create a program that works like a checklist. The checklist should let you add new things, mark them as done, and show you what hasn't been done yet.",llms,0.533943117,8.32E-232,0.959512115,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code for a database for an online bicycle shop,"Create a database schema and associated code to model the core entities of an online bicycle shop, including bicycles, components, customers, and orders, suitable for storing and retrieving data efficiently.",llms,0.416555941,0.082026493,0.973766685,0.082026482,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code for a database for an online bicycle shop,"Develop a database solution for an e-commerce platform selling bicycles. This should include tables for product inventory (bikes, parts, accessories), customer accounts, order management, and potentially a shopping cart feature. Prioritize efficient querying and data integrity.",llms,0.477550864,3.93E-155,0.965479434,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code for a database for an online bicycle shop,"Design a relational database to support an online bicycle retailer. Implement tables to store product details (including specifications, pricing, and availability), customer information (profiles, addresses, order history), and order processing information (status, payment details, shipping addresses).",llms,0.263806611,1.14E-78,0.968530416,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code for a database for an online bicycle shop,"Implement a robust database system for managing an online bicycle store. The database should efficiently handle product catalogs, customer profiles, order placement and tracking, and inventory levels. Include necessary relationships between tables for data consistency and reporting.",llms,0.586784363,1.43E-78,0.968958676,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code for a database for an online bicycle shop,"Construct a database model for an online bicycle marketplace focusing on data persistence and retrieval. Define tables for products with relevant attributes (e.g., brand, model, frame size, components), user accounts (including authentication and roles), and transactional data related to orders, payments, and shipping. Ensure the design is scalable to accommodate a growing product catalog and user base.",llms,0.476877511,0.038807218,0.96468538,0.037222885,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code for a database for an online bicycle shop,"Design a relational database schema, including tables for products, customers, orders, and inventory, optimized for an e-commerce platform selling bicycles. Include appropriate data types, primary keys, foreign keys, and indexes to ensure efficient querying and data integrity. Consider relationships like one-to-many (e.g., customer to orders) and many-to-many (e.g., products to orders). Provide the DDL (Data Definition Language) statements (e.g., SQL) to create the database.",llms,0.34725219,2.40E-155,0.957636654,0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code for a database for an online bicycle shop,"Develop a data model and corresponding database schema for an online bicycle retail system. The schema should encompass entities such as bicycle models, parts, manufacturers, customer accounts, shopping carts, order processing, and payment information. Prioritize normalization to minimize data redundancy and enable efficient transactional processing and reporting. Provide SQL scripts to define the tables and relationships.",llms,0.495740801,0.037982292,0.968170166,0.037982296,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code for a database for an online bicycle shop,"Implement a database system to manage data for an online bicycle store. Focus on creating a robust and scalable design capable of handling a large catalog of bicycles and components, customer order history, and inventory tracking. The database should support complex queries for product filtering, sales reporting, and customer segmentation. Generate the SQL code for table creation and index definition.",llms,0.605205536,0.044979254,0.970602393,0.044979252,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code for a database for an online bicycle shop,"Craft a database solution for an online bicycle marketplace, emphasizing performance and data consistency. Define entities like bicycles (with attributes like brand, model, specs), components (with details like manufacturer, price, compatibility), customer profiles, order management, and reviews. Create database tables with appropriate constraints, triggers, and stored procedures to enforce business rules and optimize query performance for high traffic scenarios. Assume the database will be deployed in a cloud-based environment.",llms,0.485678762,0.031627669,0.967472672,0.03162767,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code for a database for an online bicycle shop,"Construct a database schema tailored for a high-volume online bicycle shop, with specific attention to data warehousing needs for analytics and reporting. Include tables for products, categories, customers, orders, payments, and website activity. Incorporate denormalization techniques where appropriate to optimize read performance for reporting purposes. Provide the SQL code, and briefly explain the design choices made, especially in regards to data warehousing considerations.",llms,0.559378982,1.15E-78,0.965914547,0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code for a database for an online bicycle shop,"Could you create the digital plans for organizing all the information – like bikes for sale, customer details, and orders – that a website selling bicycles would need? Imagine a well-organized filing cabinet, but for a computer.",llms,0.55080986,3.05E-155,0.971059263,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code for a database for an online bicycle shop,"I need instructions to build a system that can keep track of all the data for my imaginary bike shop website. Think of it like a really smart spreadsheet that can handle lots of different types of information and connect them together – bikes, prices, customers, etc.",llms,0.569373906,8.93E-232,0.968634665,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code for a database for an online bicycle shop,"Develop a set of instructions for a computer to manage all the records for an online bicycle store. This would need to handle information on inventory (the bikes themselves), customer accounts, and sales transactions, so it's easily searchable and updatable.",llms,0.617558479,0.056621706,0.973683059,0.057866879,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code for a database for an online bicycle shop,"Design the structure and rules for a digital record-keeping system tailored to an online bicycle shop. It should be capable of storing and retrieving information about bikes, customers, orders, and anything else you think is important for running the business.",llms,0.557353199,0.062907333,0.970960915,0.062907316,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code for a database for an online bicycle shop,"Please provide the instructions that would enable a computer to build and manage a database for a virtual bicycle shop. This database should store and organize important information, such as bicycle specifications, customer profiles, and order histories. Make sure it's designed to make finding and updating information easy.",llms,0.492949128,1.30E-78,0.966294885,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a video streaming website,"Develop a web application using Python that allows users to stream video content. The application should handle video uploads, storage (ideally leveraging AWS S3 or similar), and playback via a web interface. Consider incorporating features for user authentication and video categorization.",llms,0.554617226,9.11E-232,0.964110911,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a video streaming website,"Create a Python-based backend for a video streaming platform. Implement RESTful APIs for video upload, retrieval, and streaming. The application should include a database (e.g., PostgreSQL) to manage video metadata and user information. Prioritize efficient video delivery and scalability.",llms,0.370250255,1.14E-78,0.963945508,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a video streaming website,"Design and implement a video streaming service using Python and appropriate frameworks (e.g., Flask or Django). The service should support video encoding and transcoding to different formats for various devices. Consider integrating with a CDN for optimized content delivery and a robust error handling mechanism.",llms,0.505566657,1.09E-78,0.961418033,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a video streaming website,"Build a Python application capable of streaming video content to web browsers. Focus on implementing a secure streaming protocol (e.g., HLS or DASH) and ensure compatibility across different browsers and devices. The system should include features for video indexing and search functionality.",llms,0.484811872,9.79E-232,0.965591133,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a video streaming website,"Construct a scalable video streaming platform using Python and AWS services. Utilize services like S3 for storage, CloudFront for content delivery, and Lambda for serverless processing. The platform should provide APIs for managing video content, user accounts, and streaming sessions, while adhering to security best practices.",llms,0.432207346,2.88E-155,0.963809013,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a video streaming website,"Develop a code framework for a scalable video streaming platform, incorporating features for content ingestion, transcoding, storage, and adaptive bitrate delivery to client devices.",llms,0.424418658,4.18E-155,0.97217387,0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a video streaming website,"Craft a software architecture that enables users to upload, manage, and stream video content, including user authentication, content access control, and playback functionality across various devices.",llms,0.363630116,1.01E-231,0.968979657,0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a video streaming website,"Implement the backend services and APIs necessary to support a video streaming application, focusing on efficient video encoding, content delivery network (CDN) integration, and robust error handling.",llms,0.412838787,1.53E-78,0.967014611,0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a video streaming website,"Design and code a video-on-demand (VOD) system that allows users to browse a catalog of videos, select and play content, and manage their viewing history, considering scalability and performance optimization.",llms,0.365185976,9.79E-232,0.967955649,0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a video streaming website,"Construct a modular and maintainable codebase for a video streaming website, incorporating features such as video search, recommendation algorithms, user commenting, and social sharing, while adhering to industry best practices for security and performance.",llms,0.358170718,0.060813897,0.969312131,0.060813893,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a video streaming website,"Create the computer instructions needed to build a website where people can watch videos, similar to YouTube, but on a smaller scale.",llms,0.554665029,1.07E-231,0.972981513,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a video streaming website,"Develop the technical blueprint, using code, for a website that allows users to select and stream videos. Consider features like a video player and a catalog of available content.",llms,0.553974986,3.91E-155,0.974106491,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a video streaming website,"I need the code to construct a website that functions as a video library, letting visitors browse and watch videos directly on the site. Think of it like a personal online cinema.",llms,0.63378495,4.52E-155,0.974098921,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a video streaming website,Write the computer commands to set up a webpage dedicated to hosting and displaying videos. The system should handle playing the videos smoothly for viewers.,llms,0.516421318,1.05E-231,0.974714279,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a video streaming website,"Design the code to establish a website for sharing and watching videos. This website should allow for selection of videos, immediate viewing, and potentially features such as categories or search.",llms,0.409999192,3.64E-155,0.971650898,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to generate accounting reports,"Create a Python script that can automatically produce financial reports (e.g., profit and loss, balance sheet) from a given dataset of transactions. Assume the input data is structured and can be easily parsed (e.g., CSV, JSON). Include unit tests to ensure the report calculations are accurate.",llms,0.431452692,7.88E-232,0.958064139,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
